barangay,barangay_link,population_percentage,population_2015,population_2020,census_date,household_population_2015,number_of_households_2015,average_household_size_2015
Escopa I,https://www.philatlas.com/luzon/ncr/quezon-city/escopa-i.html,0.07%,"2,221","2,110",2015Aug1,"2,221",487,4.56
Escopa II,https://www.philatlas.com/luzon/ncr/quezon-city/escopa-ii.html,0.06%,"1,766","1,683",2015Aug1,"1,766",374,4.72
Escopa III,https://www.philatlas.com/luzon/ncr/quezon-city/escopa-iii.html,0.27%,"8,554","7,985",2015Aug1,"8,554","1,919",4.46
Escopa IV,https://www.philatlas.com/luzon/ncr/quezon-city/escopa-iv.html,0.06%,"1,919","1,837",2015Aug1,"1,919",464,4.14
Fairview,https://www.philatlas.com/luzon/ncr/quezon-city/fairview.html,2.09%,"53,151","61,813",2015Aug1,"52,780","12,254",4.31
Greater Lagro,https://www.philatlas.com/luzon/ncr/quezon-city/greater-lagro.html,0.80%,"22,764","23,569",2015Aug1,"22,590","4,853",4.65
Gulod,https://www.philatlas.com/luzon/ncr/quezon-city/gulod.html,2.11%,"53,325","62,542",2015Aug1,"53,321","11,755",4.54
Holy Spirit,https://www.philatlas.com/luzon/ncr/quezon-city/holy-spirit.html,3.78%,"110,447","111,901",2015Aug1,"110,325","24,751",4.46
Horseshoe,https://www.philatlas.com/luzon/ncr/quezon-city/horseshoe.html,0.10%,"3,004","2,866",2015Aug1,"3,004",764,3.93
Immaculate Concepcion,https://www.philatlas.com/luzon/ncr/quezon-city/immaculate-concepcion.html,0.28%,"8,670","8,169",2015Aug1,"8,496","2,226",3.82
Kaligayahan,https://www.philatlas.com/luzon/ncr/quezon-city/kaligayahan.html,2.04%,"54,576","60,462",2015Aug1,"54,514","12,912",4.22
Kalusugan,https://www.philatlas.com/luzon/ncr/quezon-city/kalusugan.html,0.16%,"1,745","4,786",2015Aug1,"1,662",393,4.23
Kamuning,https://www.philatlas.com/luzon/ncr/quezon-city/kamuning.html,0.48%,"15,661","14,258",2015Aug1,"12,761","2,845",4.49
Katipunan,https://www.philatlas.com/luzon/ncr/quezon-city/katipunan.html,0.35%,"2,818","10,508",2015Aug1,"2,818",711,3.96
Kaunlaran,https://www.philatlas.com/luzon/ncr/quezon-city/kaunlaran.html,0.42%,"8,167","12,387",2015Aug1,"7,990","2,205",3.62
Kristong Hari,https://www.philatlas.com/luzon/ncr/quezon-city/kristong-hari.html,0.20%,"4,089","6,055",2015Aug1,"3,948","1,096",3.60
Krus na Ligas,https://www.philatlas.com/luzon/ncr/quezon-city/krus-na-ligas.html,0.72%,"21,513","21,287",2015Aug1,"21,457","5,163",4.16
Laging Handa,https://www.philatlas.com/luzon/ncr/quezon-city/laging-handa.html,0.16%,"6,750","4,812",2015Aug1,"6,669","1,396",4.78
Libis,https://www.philatlas.com/luzon/ncr/quezon-city/libis.html,0.14%,"4,018","4,208",2015Aug1,"4,007",926,4.33
